                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67442,                 1.0326,                 1.1569,                0.64986,                 0.6233,                 0.6634,                0.45402,                 1.2894,                 1.3055,                 1.7331,             0.00033268,             0.00033268,             0.00033268
                      2,                0.70279,                 1.0619,                 1.1696,                0.59898,                0.62832,                0.65802,                0.44956,                 1.3781,                 1.4741,                 1.8783,             0.00063305,             0.00063305,             0.00063305
                      3,                0.72912,                 1.1073,                 1.1806,                0.58425,                 0.6182,                0.59879,                0.38157,                 1.3809,                 1.7197,                 1.8565,             0.00090041,             0.00090041,             0.00090041
                      4,                0.72936,                 1.1251,                 1.1863,                0.59117,                0.64769,                0.60195,                0.40834,                 1.3461,                 1.6818,                 1.8046,              0.0008515,              0.0008515,              0.0008515
                      5,                 0.7269,                 1.1255,                 1.1834,                0.62278,                0.44267,                0.54345,                0.36236,                 1.3529,                 1.5473,                 1.7729,              0.0008515,              0.0008515,              0.0008515
                      6,                0.73023,                 1.1192,                 1.1842,                0.70721,                0.50275,                0.61455,                0.41386,                 1.3476,                 1.5098,                 1.7844,               0.000802,               0.000802,               0.000802
                      7,                0.71708,                 1.1069,                 1.1794,                0.61939,                0.55894,                0.59671,                0.41037,                 1.3584,                 1.5236,                 1.8264,              0.0007525,              0.0007525,              0.0007525
                      8,                0.69595,                 1.0852,                 1.1707,                0.59636,                0.64069,                0.62865,                0.44728,                 1.2337,                 1.5045,                 1.6691,               0.000703,               0.000703,               0.000703
                      9,                0.70252,                 1.0719,                 1.1687,                  0.707,                0.57003,                0.64952,                0.43196,                 1.3099,                 1.3848,                 1.7755,              0.0006535,              0.0006535,              0.0006535
                     10,                0.69094,                 1.0423,                 1.1594,                0.69215,                0.44588,                0.54667,                 0.3794,                 1.2868,                 1.5407,                 1.7064,               0.000604,               0.000604,               0.000604
                     11,                0.66467,                0.89861,                 1.1746,                0.70819,                0.53504,                0.63335,                0.43609,                 1.3339,                 1.3669,                 1.7522,              0.0005545,              0.0005545,              0.0005545
                     12,                0.65182,                0.85338,                 1.1623,                0.54775,                0.72711,                0.67792,                 0.4823,                 1.2603,                 1.3741,                 1.7097,               0.000505,               0.000505,               0.000505
                     13,                0.63979,                 0.8247,                 1.1452,                0.69133,                 0.7038,                0.72014,                0.50494,                 1.2682,                 1.3268,                 1.7259,              0.0004555,              0.0004555,              0.0004555
                     14,                0.62681,                0.79557,                  1.142,                0.65044,                0.65273,                0.67781,                0.48965,                 1.2473,                 1.3483,                 1.6946,               0.000406,               0.000406,               0.000406
                     15,                 0.6163,                0.76472,                 1.1384,                0.64168,                0.63336,                 0.7041,                0.49117,                 1.2538,                  1.298,                 1.7214,              0.0003565,              0.0003565,              0.0003565
                     16,                0.59403,                0.74789,                 1.1221,                0.70951,                0.61837,                0.67849,                0.48219,                 1.2151,                 1.3686,                 1.6437,               0.000307,               0.000307,               0.000307
                     17,                0.58399,                0.71481,                  1.113,                0.77328,                0.60812,                0.70475,                0.50526,                 1.2184,                 1.2659,                 1.6703,              0.0002575,              0.0002575,              0.0002575
                     18,                0.57559,                 0.6863,                 1.1051,                0.73225,                0.63724,                0.72456,                0.50019,                 1.1957,                 1.2221,                 1.6632,               0.000208,               0.000208,               0.000208
                     19,                0.56305,                0.66291,                 1.0936,                0.77824,                0.61789,                0.74552,                0.53433,                 1.2024,                 1.1912,                 1.6649,              0.0001585,              0.0001585,              0.0001585
                     20,                0.54807,                 0.6389,                 1.0809,                0.77053,                0.63555,                0.72421,                0.52278,                 1.1972,                 1.1413,                 1.6658,               0.000109,               0.000109,               0.000109
